"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id"
"null","sounds/unaltered_45/BKBQ2107.WAV","null","audio-keyboard-response","0","1155","0.0-0.0-0.0"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","1","1661","0.0-0.0-1.0"
"null","sounds/unaltered_45/BKBQ0505.WAV","null","audio-keyboard-response","2","3186","0.0-0.0-0.1"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","3","3691","0.0-0.0-1.1"
"null","sounds/unaltered_45/BKBQ0306.WAV","null","audio-keyboard-response","4","5055","0.0-0.0-0.2"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","5","5559","0.0-0.0-1.2"
"null","sounds/unaltered_45/BKBQ1814.WAV","null","audio-keyboard-response","6","7162","0.0-0.0-0.3"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","7","7667","0.0-0.0-1.3"
"null","sounds/unaltered_45/BKBQ2013.WAV","null","audio-keyboard-response","8","9113","0.0-0.0-0.4"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","9","9617","0.0-0.0-1.4"
"null","sounds/unaltered_45/BKBQ0613.WAV","null","audio-keyboard-response","10","10979","0.0-0.0-0.5"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","11","11483","0.0-0.0-1.5"
"null","sounds/unaltered_45/BKBQ1707.WAV","null","audio-keyboard-response","12","12828","0.0-0.0-0.6"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","13","13332","0.0-0.0-1.6"
"null","sounds/unaltered_45/BKBQ0609.WAV","null","audio-keyboard-response","14","14674","0.0-0.0-0.7"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","15","15178","0.0-0.0-1.7"
"null","sounds/unaltered_45/BKBQ0312.WAV","null","audio-keyboard-response","16","16689","0.0-0.0-0.8"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","17","17190","0.0-0.0-1.8"
"null","sounds/unaltered_45/BKBQ0315.WAV","null","audio-keyboard-response","18","18755","0.0-0.0-0.9"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","19","19261","0.0-0.0-1.9"
"null","sounds/unaltered_45/BKBQ1711.WAV","null","audio-keyboard-response","20","20688","0.0-0.0-0.10"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","21","21195","0.0-0.0-1.10"
"null","sounds/unaltered_45/BKBQ1704.WAV","null","audio-keyboard-response","22","22500","0.0-0.0-0.11"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","23","23005","0.0-0.0-1.11"
"null","sounds/unaltered_45/BKBQ2112.WAV","null","audio-keyboard-response","24","24648","0.0-0.0-0.12"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","25","25151","0.0-0.0-1.12"
"null","sounds/unaltered_45/BKBQ0309.WAV","null","audio-keyboard-response","26","26708","0.0-0.0-0.13"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","27","27213","0.0-0.0-1.13"
"null","sounds/unaltered_45/BKBQ0608.WAV","null","audio-keyboard-response","28","28671","0.0-0.0-0.14"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","29","29175","0.0-0.0-1.14"
"null","sounds/unaltered_45/BKBQ0203.WAV","null","audio-keyboard-response","30","30836","0.0-0.0-0.15"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","31","31340","0.0-0.0-1.15"
"null","sounds/unaltered_45/BKBQ0412.WAV","null","audio-keyboard-response","32","32763","0.0-0.0-0.16"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","33","33267","0.0-0.0-1.16"
"null","sounds/unaltered_45/BKBQ2106.WAV","null","audio-keyboard-response","34","34638","0.0-0.0-0.17"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","35","35142","0.0-0.0-1.17"
"null","sounds/unaltered_45/BKBQ0413.WAV","null","audio-keyboard-response","36","36896","0.0-0.0-0.18"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","37","37401","0.0-0.0-1.18"
"null","sounds/unaltered_45/BKBQ0311.WAV","null","audio-keyboard-response","38","38928","0.0-0.0-0.19"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","39","39432","0.0-0.0-1.19"
"null","sounds/unaltered_45/BKBQ0514.WAV","null","audio-keyboard-response","40","41140","0.0-0.0-0.20"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","41","41644","0.0-0.0-1.20"
"null","sounds/unaltered_45/BKBQ0607.WAV","null","audio-keyboard-response","42","43398","0.0-0.0-0.21"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","43","43902","0.0-0.0-1.21"
"null","sounds/unaltered_45/BKBQ2010.WAV","null","audio-keyboard-response","44","45117","0.0-0.0-0.22"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","45","45620","0.0-0.0-1.22"
"null","sounds/unaltered_45/BKBQ1916.WAV","null","audio-keyboard-response","46","47357","0.0-0.0-0.23"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","47","47861","0.0-0.0-1.23"
"null","sounds/unaltered_45/BKBQ1915.WAV","null","audio-keyboard-response","48","49621","0.0-0.0-0.24"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","49","50125","0.0-0.0-1.24"
"null","sounds/unaltered_45/BKBQ0407.WAV","null","audio-keyboard-response","50","51456","0.0-0.0-0.25"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","51","51960","0.0-0.0-1.25"
"null","sounds/unaltered_45/BKBQ2111.WAV","null","audio-keyboard-response","52","53348","0.0-0.0-0.26"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","53","53853","0.0-0.0-1.26"
"null","sounds/unaltered_45/BKBQ0411.WAV","null","audio-keyboard-response","54","55252","0.0-0.0-0.27"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","55","55757","0.0-0.0-1.27"
"null","sounds/unaltered_45/BKBQ1808.WAV","null","audio-keyboard-response","56","57127","0.0-0.0-0.28"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","57","57631","0.0-0.0-1.28"
"null","sounds/unaltered_45/BKBQ2001.WAV","null","audio-keyboard-response","58","59055","0.0-0.0-0.29"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","59","59559","0.0-0.0-1.29"
"null","sounds/unaltered_45/BKBQ0115.WAV","null","audio-keyboard-response","60","61017","0.0-0.0-0.30"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","61","61521","0.0-0.0-1.30"
"null","sounds/unaltered_45/BKBQ2016.WAV","null","audio-keyboard-response","62","63200","0.0-0.0-0.31"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","63","63702","0.0-0.0-1.31"
"null","sounds/unaltered_45/BKBQ0416.WAV","null","audio-keyboard-response","64","65359","0.0-0.0-0.32"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","65","65863","0.0-0.0-1.32"
"null","sounds/unaltered_45/BKBQ2002.WAV","null","audio-keyboard-response","66","66723","0.0-0.0-0.33"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","67","67228","0.0-0.0-1.33"
"null","sounds/unaltered_45/BKBQ2105.WAV","null","audio-keyboard-response","68","68651","0.0-0.0-0.34"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","69","69156","0.0-0.0-1.34"
"null","sounds/unaltered_45/BKBQ0209.WAV","null","audio-keyboard-response","70","70595","0.0-0.0-0.35"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","71","71099","0.0-0.0-1.35"
"null","sounds/unaltered_45/BKBQ0304.WAV","null","audio-keyboard-response","72","72604","0.0-0.0-0.36"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","73","73109","0.0-0.0-1.36"
"null","sounds/unaltered_45/BKBQ2116.WAV","null","audio-keyboard-response","74","74288","0.0-0.0-0.37"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","75","74791","0.0-0.0-1.37"
"null","sounds/unaltered_45/BKBQ2014.WAV","null","audio-keyboard-response","76","76273","0.0-0.0-0.38"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","77","76778","0.0-0.0-1.38"
"null","sounds/unaltered_45/BKBQ0512.WAV","null","audio-keyboard-response","78","78102","0.0-0.0-0.39"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","79","78605","0.0-0.0-1.39"
"null","sounds/unaltered_45/BKBQ1714.WAV","null","audio-keyboard-response","80","79959","0.0-0.0-0.40"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","81","80463","0.0-0.0-1.40"
"null","sounds/unaltered_45/BKBQ2103.WAV","null","audio-keyboard-response","82","81997","0.0-0.0-0.41"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","83","82498","0.0-0.0-1.41"
