"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","response"
"380.5150000844151","<p style=""color:white;"">Welcome to the experiment!</p><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","385","0.0-0.0","",""
"269.7550000157207","<p style=""color:white;"">In this task you will listen to a series of audio clips.</p><p style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</p><p style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</p><p style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</p><p style=""color:white;"">Press any key to continue to the study.</p>","32","html-keyboard-response","1","656","0.0-1.0-0.0","",""
"167.17499983496964","<p style=""color:white;"">We will now begin the first test block .</p> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","2","824","0.0-1.0-1.0","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","3","1830","0.0-2.0-0.0","",""
"null","sounds/unintel_45/U_BKBQ0206.WAV","null","audio-keyboard-response","4","3508","0.0-2.0-1.0","unintel",""
"1058.3999999798834","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","5","4567","0.0-2.0-2.0","unintel","1"
"null","<p style=""color:white;"">You will now hear some short sentences.</p><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","6","14574","0.0-3.0","",""
"null","sounds/unaltered_45/BKBQ1715.WAV","null","audio-keyboard-response","7","16134","0.0-4.0-0.0","unaltered",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","8","16638","0.0-4.0-1.0","",""
"null","<p style=""color:white;"">We will now begin the second test block.</p>","null","html-keyboard-response","9","26642","0.0-5.0","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","27647","0.0-6.0-0.0","",""
"null","sounds/unintel_45/U_BKBQ0501.WAV","null","audio-keyboard-response","11","29265","0.0-6.0-1.0","unintel",""
"2649.280000012368","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","12","31915","0.0-6.0-2.0","unintel","1"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">This is the end of the experiment.</p>","null","html-keyboard-response","13","32420","0.0-7.0-0.0","",""
