"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id"
"1139.9050001055002","<p style=""color:white;"">Welcome to the experiment!</p><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","1146","0.0-0.0"
"11715.93499998562","<p style=""color:white;"">In this task you will listen to a series of audio clips.</p><p style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</p><p style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</p><p style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</p><p style=""color:white;"">Press any key to continue to the study.</p>","32","html-keyboard-response","1","12865","0.0-1.0-0.0"
"2086.2249999772757","<p style=""color:white;"">We will now begin the first test block .</p> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","2","14953","0.0-1.0-1.0"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","3","15957","0.0-2.0-0.0"
"null","sounds/unintel_45/U_BKBQ0513.WAV","null","audio-keyboard-response","4","17714","0.0-2.0-1.0"
"1719.6799998637289","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","48","html-keyboard-response","5","19435","0.0-2.0-2.0"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","6","20438","0.0-2.0-0.1"
"null","sounds/unintel_45/U_BKBQ0203.WAV","null","audio-keyboard-response","7","22224","0.0-2.0-1.1"
"342.0300001744181","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","48","html-keyboard-response","8","22567","0.0-2.0-2.1"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","9","23568","0.0-2.0-0.2"
"null","sounds/unintel_45/U_BKBQ0406.WAV","null","audio-keyboard-response","10","25123","0.0-2.0-1.2"
"524.4549999479204","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","48","html-keyboard-response","11","25649","0.0-2.0-2.2"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","12","26652","0.0-2.0-0.3"
"null","sounds/intel_45/I_BKBQ0612.wav","null","audio-keyboard-response","13","29113","0.0-2.0-1.3"
"581.389999948442","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","48","html-keyboard-response","14","29696","0.0-2.0-2.3"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","15","30700","0.0-2.0-0.4"
"null","sounds/intel_45/I_BKBQ0203.wav","null","audio-keyboard-response","16","32953","0.0-2.0-1.4"
"380.959999980405","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","17","33336","0.0-2.0-2.4"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","18","34338","0.0-2.0-0.5"
"null","sounds/unintel_45/U_BKBQ0603.WAV","null","audio-keyboard-response","19","36384","0.0-2.0-1.5"
"409.01500009931624","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","20","36794","0.0-2.0-2.5"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","21","37797","0.0-2.0-0.6"
"null","sounds/unintel_45/U_BKBQ0102.WAV","null","audio-keyboard-response","22","39644","0.0-2.0-1.6"
"378.97499999962747","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","48","html-keyboard-response","23","40024","0.0-2.0-2.6"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","24","41026","0.0-2.0-0.7"
"null","sounds/intel_45/I_BKBQ0407.wav","null","audio-keyboard-response","25","42784","0.0-2.0-1.7"
"799.2199999280274","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","26","43584","0.0-2.0-2.7"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","27","44586","0.0-2.0-0.8"
"null","sounds/intel_45/I_BKBQ0501.wav","null","audio-keyboard-response","28","46624","0.0-2.0-1.8"
"497.7849998977035","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","48","html-keyboard-response","29","47122","0.0-2.0-2.8"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","30","48124","0.0-2.0-0.9"
"null","sounds/intel_45/I_BKBQ0214.wav","null","audio-keyboard-response","31","50013","0.0-2.0-1.9"
"282.8849998768419","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","48","html-keyboard-response","32","50297","0.0-2.0-2.9"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","33","51299","0.0-2.0-0.10"
"null","sounds/intel_45/I_BKBQ0304.wav","null","audio-keyboard-response","34","53334","0.0-2.0-1.10"
